i,j,EBC,CFEdge,BridgeImpact,MinCutCrit,line_name,line_voltage,length_m
489,5843,0.051419906258615936,0.09445259416921628,0.0,0.0037220843672456576,秦浜線;秦浜線; 大神線,275000;275000;66000,1041.5351316572
489,5695,0.04108078301626689,0.09009603858542244,0.0,0.003970223325062035,秦浜線; 下沖線;秦浜線; 下沖線,275000;66000;275000;66000,3258.53150229677
223,8639,0.06622229025454836,0.09509180698713854,0.0,0.0037220843672456576,,500000;500000,79120.5219091187
223,6045,0.08189246237633335,0.1045141688293938,0.0,0.00041356492969396195,新佐原線,500000,33525.3643039355
223,9119,0.024484619323328988,0.07239450795701939,0.0,0.007857733664185277,,500000,3558.7612803608
223,5639,0.031265508684863524,0.07939691078794227,0.0,0.01248966087675765,,275000,18313.9837017457
510,8639,0.03742989984925469,0.08744537505033297,0.0,0.004962779156327543,,275000;275000;275000,22553.4591832971
6195,8639,0.025475599669148058,0.02547559966914817,0.012820512820512775,0.013730355665839538,富津火力線;富津火力線,66000;500000;66000;500000,2786.49215625636
5695,5697,0.032230493520816104,0.08750222427677741,0.0,0.004466501240694789,秦浜線,275000,267.888343199517
458,5697,0.02382133995037221,0.08667115124328732,0.0,0.004549214226633582,秦浜線; 相模川線; 海老名西線;秦浜線; 相模川線; 海老名西線,275000;66000;275000;66000,1199.19929552079
458,5731,0.01668045216432313,0.08760281948494716,0.0,0.008354011579818032,綾瀬線;中綾線;秦浜線; 中綾線; 綾瀬線;秦浜線,275000;66000;275000,2011.41123511121
158,5972,0.038496002205679634,0.06348096548655058,0.0,0.004383788254755997,狭山線 (Sayama Sen),154000,5474.00186843182
158,6094,0.024912560557721845,0.09600861754002916,0.0,0.006534325889164599,,275000,5184.06491533079
158,429,0.18441345392958283,0.10767413295868615,0.0,0.0005789909015715467,只見幹線 (Tadami Kansen),275000,5881.34199806444
1605,6388,0.033690377722635785,0.07010544461356273,0.0,0.004218362282878412,,275000,13351.503049612
6388,662,0.01282051282051282,0.012820512820514602,0.0064102564102563875,0.011993382961124897,,500000,11681.1295980913
401,429,0.20663429760203952,0.20997795310674777,0.0,0.0056244830438378825,只見幹線;只見幹線 (Tadami Kansen);只見幹線 (Tadami Kansen),275000;275000,12143.7480080861
429,5971,0.01179349324510615,0.05546067679221334,0.0,0.007526881720430108,新座線; 狭山線; 脇田線,275000;154000;66000,1131.80927859001
429,467,0.030719602977667487,0.10415098832640009,0.0,0.0028122415219189413,南狭山線;南狭山線; 日高線;日高線,275000;275000;66000,3684.5723476202
5971,5972,0.008057623380204026,0.05248400722230861,0.0,0.008519437551695616,新座線;狭山線,275000;154000,1937.28383175493
5936,6069,0.062448304383788254,0.06244830438378833,0.03205128205128205,0.006947890818858561,西越谷線 (Nishi Koshigaya Sen),275000,346.962683937791
6042,6043,0.011757650951199343,0.0370817552605867,0.0,8.271298593879239e-05,,275000,341.675477084657
5886,6042,0.03322029225255031,0.07657313656961436,0.0,0.018775847808105872,新京葉線,275000,17020.2437046135
6042,8349,0.01175765095119934,0.03708175526058665,0.0,0.00024813895781637717,,275000,306.392325153305
6043,6044,0.015827129859387917,0.03680236328141551,0.0,0.00024813895781637717,,275000,208.26555312713
6043,6885,0.01276537082988696,0.01695616211745253,0.0,0.00587262200165426,,66000,313.103522576064
6044,6045,0.04138682106424043,0.07573496063210046,0.0,0.018858560794044667,,275000,5827.44263254114
6044,8349,0.015827129859387917,0.03680236328141582,0.0,0.00041356492969396195,,275000,244.066506989631
479,5839,0.023318903318903326,0.0678596624644488,0.0,0.00794044665012407,,275000,3289.78848499555
6195,8638,0.01282051282051282,0.01282051282051303,0.0064102564102563875,0.0040529363110008276,富津火力線,500000,26129.5025530736
2201,6090,0.006658395368072788,0.023228563551144537,0.0,0.0063688999172870145,横須賀線;三崎線,66000;66000,2343.73042131739
2201,5849,0.00674110835401158,0.02328370554177023,0.0,0.009429280397022333,"東京南線3,4号線",275000,15732.5622050371
5819,6090,0.01889991728701406,0.027309070857457884,0.0,0.006534325889164599,"東京南線1,2号線",275000,21422.3257134271
398,5819,0.031224152191894127,0.03552522746071289,0.0,0.003556658395368073,"東京南線1,2号線",275000,10659.1993403079
398,6092,0.09200441135925007,0.11802333913608187,0.0,0.008271298593879239,"京浜線1,2号線",275000,3879.65545595301
398,5731,0.023104494072236005,0.09029722900175982,0.0,0.009263854425144748,秦浜線,275000,6786.45576188507
398,453,0.04363110008271299,0.0396608767576521,0.0,0.007692307692307693,"東京南線3,4号線",275000,5073.25363288747
6035,6036,0.010202646815550043,0.03943554286679001,0.0,0.008436724565756825,南狭山線 (Minamisayama-sen),275000,1304.00586442272
510,7150,0.02870214015375303,0.06371565778835805,0.0,0.006120760959470637,房総線,500000,35058.7312149505
510,5898,0.03818332205428978,0.07392404922659362,0.0,0.009098428453267164,,275000,9813.42397163273
510,6607,0.01282051282051282,0.012820512820512919,0.0064102564102563875,0.012572373862696443,東千葉房総線 (Higashi Chiba Bōsō Sen),154000;275000;275000,5114.09568326291
5900,6053,0.049078878111136155,0.06903213435934064,0.0,0.007526881720430108,,275000,4943.77752978356
5898,5900,0.019054064215354553,0.06365282402116512,0.0,0.009181141439205955,,275000,9137.49863036782
5900,5901,0.025475599669148058,0.025475599669149546,0.012820512820512775,0.01248966087675765,,275000,286.544444020451
6053,6067,0.025475599669148058,0.025475599669148113,0.012820512820512775,0.012241521918941274,花見川線,275000,4742.02844590835
