i,j,LDC,Jaccard,LKS,CI_e_av_skin,CI_e_mul_skin,CI_e_av_body,CI_e_mul_body,LLBCe,LLBMEe1
62,66,72,0.13333333333333333,16,8410.0,70719264,10953.0,119966000,0.0680215419501134,-614.4093773269191
62,111,126,0.045454545454545456,20,10882.0,112763040,18656.0,289432000,0.15308699237270665,-5179.268043870626
63,237,8,0.0,6,1444.0,500055,1648.0,679575,0.26666666666666666,-83.27633833188791
64,85,40,0.0,16,5564.5,26313168,8294.0,67841760,0.08634004884004884,-430.36691594831296
64,79,80,0.058823529411764705,16,7627.0,58162293,13089.5,156731148,0.09127713585434175,-1227.3947650046055
64,86,40,0.08333333333333333,16,5006.5,17696532,6094.0,27062560,0.07734487734487734,-289.03674360982484
64,87,24,0.0,12,4902.5,16090564,5911.0,23670472,0.10939393939393939,-286.1174601369096
64,88,32,0.0,16,4829.5,14963298,5822.0,22020768,0.18560606060606058,-653.5278778011162
64,66,64,0.23076923076923078,16,8018.5,64207836,10087.0,101076808,0.0501068376068376,-293.72978289398117
64,80,40,0.0,16,6310.5,37832900,7806.0,58796192,0.09242216117216118,-426.40131307107674
65,110,16,0.0,16,3465.0,11880909,4641.0,20985345,0.21428571428571427,-217.09039824941001
65,92,20,0.0,16,2655.5,6844200,3244.5,10101024,0.22268518518518515,-303.4286299241032
65,259,36,0.0,20,5067.5,21851664,9788.5,61104960,0.15616096866096868,-860.1215158229761
66,76,32,0.09090909090909091,16,5745.0,26394984,7311.5,40537602,0.06083333333333333,-165.1878004335684
66,79,80,0.125,16,7924.5,62644428,13908.5,184431366,0.0758779761904762,-898.4298382006594
66,86,40,0.18181818181818182,16,5304.0,19060272,6913.0,31845520,0.0619047619047619,-193.38173661586976
66,118,88,0.05555555555555555,20,9288.0,85322160,14463.0,196526120,0.10400715841892312,-1594.5880903875413
66,113,88,0.05555555555555555,16,8553.0,73097640,15068.0,209722380,0.08053362759245113,-1309.9625652813093
67,68,18,0.0,12,4113.5,12205470,5470.5,20473820,0.14282407407407408,-233.06695959088998
67,69,54,0.0,16,7674.5,56967240,10048.5,98711840,0.18626984126984128,-1625.3729711664926
67,70,72,0.0,20,9616.0,81371895,14871.0,181128365,0.1395554518103538,-2162.1110729323605
67,71,66,0.0,24,6932.5,47640300,13832.5,163380400,0.0831027326431738,-1093.9670194423236
67,72,78,0.0,20,7288.5,52115220,16176.5,203439360,0.10164426217057794,-2039.2094432986678
68,73,12,0.0,9,2792.0,7072764,3463.0,10853880,0.20181405895691606,-117.87669922025749
68,74,39,0.0,21,6293.0,20670648,12082.0,52156128,0.08334325396825397,-844.6139393260888
69,132,18,0.1,8,4845.5,5683128,6142.0,8456064,0.08888888888888889,-233.12690797108965
69,212,63,0.06666666666666667,16,8156.0,65695872,10840.0,116998656,0.12330687830687831,-1181.8222992017959
69,224,27,0.0,8,5477.0,17130960,6910.0,26199936,0.14931457431457432,-598.5537324587028
69,101,45,0.0,16,6016.0,26901952,7630.0,42834816,0.14102564102564105,-949.2101033077462
69,91,90,0.05555555555555555,16,10053.5,100093752,13939.0,188597952,0.13654684095860567,-2361.3866916439733
69,225,45,0.0,12,6858.0,42165728,9336.0,82250240,0.1940301761730333,-1341.2521698072203
69,213,63,0.14285714285714285,16,7397.0,51936720,9487.0,85738944,0.12106227106227108,-971.4882053512129
69,226,81,0.058823529411764705,20,9060.0,82083584,12240.0,149344256,0.11098564425770309,-1479.8129605263168
70,118,132,0.09523809523809523,25,11603.5,132836220,19608.5,381969940,0.10032793925651068,-2837.3235509919828
70,203,144,0.09090909090909091,30,10213.5,96843560,21026.5,442084632,0.06460797800083515,-2109.412338836941
70,204,132,0.09523809523809523,30,9633.5,81825040,20078.5,401895120,0.08102600869407592,-2372.276094712478
70,124,192,0.0,25,12706.0,161384355,25493.5,631458630,0.10298957545981356,-6903.720332973364
70,262,108,0.0,30,9269.5,72399624,17978.5,312867720,0.08615414347557204,-2118.8971341573383
70,208,48,0.14285714285714285,15,7774.0,33675147,13271.5,113319162,0.0467556253270539,-372.0735885351394
