i,j,LDC,Jaccard,LKS,CI_e_av_skin,CI_e_mul_skin,CI_e_av_body,CI_e_mul_body,LLBCe,LLBMEe1
145,147,4,0.0,4,3.0,9,9.5,90,0.3333333333333333,-13.862943611198904
146,244,4,0.0,4,3.5,12,10.0,100,0.3333333333333333,-13.862943611198904
147,355,4,0.0,4,4.0,15,9.0,81,0.3333333333333333,-11.090354888959125
149,223,12,0.16666666666666666,4,62.5,3750,147.0,20520,0.15,-47.04666803825152
149,225,16,0.14285714285714285,4,69.0,4725,160.5,25380,0.12698412698412698,-62.06564742538805
150,224,16,0.14285714285714285,4,109.5,11970,220.5,48348,0.19047619047619047,-113.92622634694894
150,310,8,0.0,4,70.5,3078,142.5,11376,0.16666666666666666,-46.150714996361806
151,301,4,0.0,4,27.5,744,45.5,1960,0.2916666666666667,-14.514832946626704
152,363,8,0.0,4,57.5,1824,103.5,5742,0.26666666666666666,-63.42724820944428
152,300,8,0.0,4,59.5,2208,106.0,6612,0.25,-62.33548708827481
152,310,8,0.0,4,61.5,2592,111.0,8352,0.16666666666666666,-43.1077660337024
153,222,16,0.0,4,90.0,8064,169.5,28674,0.2113095238095238,-142.59616376880675
153,286,8,0.0,4,56.0,2352,112.5,8496,0.1611111111111111,-40.74599594002554
153,225,16,0.0,4,73.5,5292,159.0,24957,0.14285714285714285,-93.71848136558694
154,198,15,0.0,4,97.0,8448,193.0,34224,0.26785714285714285,-203.58246448998818
154,286,6,0.0,4,47.0,1848,93.0,6624,0.175,-24.0584880455726
155,156,9,0.0,4,42.0,1664,80.0,5916,0.19166666666666668,-40.75915036609594
155,157,6,0.0,4,28.5,800,52.5,2726,0.1625,-17.311212174806705
156,171,6,0.0,4,34.0,832,66.0,3060,0.3,-38.43797867836837
158,159,4,0.0,4,6.0,32,11.0,112,0.3333333333333333,-11.090354888959125
158,160,4,0.0,4,3.0,8,7.0,48,0.3333333333333333,-11.090354888959125
160,339,4,0.0,4,2.5,6,6.5,42,0.3333333333333333,-11.090354888959125
161,293,4,0.0,1,5.0,24,10.0,96,0.3333333333333333,-11.090354888959125
162,163,4,0.0,4,10.5,108,17.0,273,0.3333333333333333,-11.090354888959125
162,164,4,0.0,4,14.0,192,28.0,735,0.3333333333333333,-16.101406762940595
165,166,4,0.0,1,1.5,2,5.5,30,0.3333333333333333,-11.090354888959125
165,167,4,0.0,1,2.0,4,6.0,36,0.3333333333333333,-11.090354888959125
166,187,4,0.0,1,1.0,1,4.5,20,0.3333333333333333,-11.090354888959125
168,169,4,0.0,2,16.5,0,27.0,0,0.2,-24.953298500158027
169,170,8,0.0,2,18.5,132,32.5,594,0.26666666666666666,-55.45177444479562
169,171,8,0.0,4,24.5,528,42.0,1620,0.26666666666666666,-58.69549530966093
169,172,8,0.0,4,21.5,330,36.5,1026,0.26666666666666666,-55.45177444479562
170,230,4,0.0,1,3.5,12,10.0,99,0.3333333333333333,-13.862943611198904
172,363,4,0.0,4,14.5,190,26.0,627,0.3333333333333333,-16.635532333438686
